specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-024_90s_1,5,post,5373,355,330,0.9925,0.0,0.0,0.0,0.0
Rec-024_90s_1,5,post,5374,348,330,0.9803,-7.0,0.0,180.0,7.0
Rec-024_90s_1,5,post,5375,344,330,0.9941,-4.0,0.0,180.0,4.0
Rec-024_90s_1,5,post,5376,344,330,0.9929,0.0,0.0,0.0,0.0
Rec-024_90s_1,6,pre,5492,322,330,0.9916,,,,
Rec-024_90s_1,6,pre,5493,313,330,0.9901,-9.0,0.0,180.0,9.0
Rec-024_90s_1,6,pre,5494,304,330,0.9874,-9.0,0.0,180.0,9.0
Rec-024_90s_1,6,pre,5495,290,331,0.9904,-14.0,1.0,-175.91,14.04
Rec-024_90s_1,6,pre,5496,290,331,0.9864,0.0,0.0,0.0,0.0
Rec-024_90s_1,6,core,5497,290,331,0.98,0.0,0.0,0.0,0.0
Rec-024_90s_1,6,core,5498,292,332,0.9833,2.0,1.0,-26.57,2.24
Rec-024_90s_1,6,core,5499,296,331,0.9816,4.0,-1.0,14.04,4.12
Rec-024_90s_1,6,core,5500,301,331,0.9845,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5501,305,331,0.9851,4.0,0.0,0.0,4.0
Rec-024_90s_1,6,core,5502,310,331,0.9873,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5503,314,331,0.9866,4.0,0.0,0.0,4.0
Rec-024_90s_1,6,core,5504,319,331,0.9894,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5505,323,331,0.9879,4.0,0.0,0.0,4.0
Rec-024_90s_1,6,core,5506,328,331,0.9908,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5507,332,331,0.9884,4.0,0.0,0.0,4.0
Rec-024_90s_1,6,core,5508,337,331,0.9917,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5509,342,331,0.9885,5.0,0.0,0.0,5.0
Rec-024_90s_1,6,core,5510,351,331,0.9878,9.0,0.0,0.0,9.0
Rec-024_90s_1,6,core,5511,355,331,0.9887,4.0,0.0,0.0,4.0
Rec-024_90s_1,6,post,5512,355,330,0.9938,0.0,-1.0,90.0,1.0
Rec-024_90s_1,6,post,5513,353,330,0.9904,-2.0,0.0,180.0,2.0
Rec-024_90s_1,6,post,5514,350,330,0.9948,-3.0,0.0,180.0,3.0
Rec-024_90s_1,6,post,5515,350,330,0.9933,0.0,0.0,0.0,0.0
Rec-024_90s_1,6,post,5516,349,330,0.9943,-1.0,0.0,180.0,1.0
Rec-025_30s_1,1,pre,3153,292,330,0.9836,,,,
Rec-025_30s_1,1,pre,3154,290,331,0.986,-2.0,1.0,-153.43,2.24
Rec-025_30s_1,1,pre,3155,290,331,0.9898,0.0,0.0,0.0,0.0
Rec-025_30s_1,1,pre,3156,290,331,0.9899,0.0,0.0,0.0,0.0
Rec-025_30s_1,1,pre,3157,290,331,0.987,0.0,0.0,0.0,0.0
Rec-025_30s_1,1,core,3158,290,331,0.9815,0.0,0.0,0.0,0.0
Rec-025_30s_1,1,core,3159,298,331,0.9813,8.0,0.0,0.0,8.0
Rec-025_30s_1,1,core,3160,302,331,0.9848,4.0,0.0,0.0,4.0
Rec-025_30s_1,1,core,3161,307,331,0.9828,5.0,0.0,0.0,5.0
Rec-025_30s_1,1,core,3162,311,331,0.9861,4.0,0.0,0.0,4.0
Rec-025_30s_1,1,core,3163,316,331,0.9857,5.0,0.0,0.0,5.0
Rec-025_30s_1,1,core,3164,320,331,0.9878,4.0,0.0,0.0,4.0
Rec-025_30s_1,1,core,3165,325,331,0.9867,5.0,0.0,0.0,5.0
Rec-025_30s_1,1,core,3166,334,331,0.9886,9.0,0.0,0.0,9.0
Rec-025_30s_1,1,core,3167,343,331,0.9889,9.0,0.0,0.0,9.0
Rec-025_30s_1,1,core,3168,352,331,0.9871,9.0,0.0,0.0,9.0
Rec-025_30s_1,1,core,3169,355,331,0.9882,3.0,0.0,0.0,3.0
Rec-025_30s_1,1,core,3170,355,330,0.9914,0.0,-1.0,90.0,1.0
Rec-025_30s_1,1,post,3171,350,330,0.9717,-5.0,0.0,180.0,5.0
Rec-025_30s_1,1,post,3172,341,330,0.9949,-9.0,0.0,180.0,9.0
Rec-025_30s_1,1,post,3173,341,330,0.9952,0.0,0.0,0.0,0.0
Rec-025_30s_1,1,post,3174,340,330,0.9935,-1.0,0.0,180.0,1.0
Rec-025_30s_1,1,post,3175,336,330,0.9914,-4.0,0.0,180.0,4.0
Rec-025_30s_1,2,pre,3302,293,330,0.9827,,,,
Rec-025_30s_1,2,pre,3303,290,330,0.985,-3.0,0.0,180.0,3.0
Rec-025_30s_1,2,pre,3304,290,331,0.9899,0.0,1.0,-90.0,1.0
Rec-025_30s_1,2,pre,3305,290,331,0.9904,0.0,0.0,0.0,0.0
