specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,11,pre,2658,290,331,0.9901,0.0,0.0,0.0,0.0
Rec-027_std_2,11,pre,2659,290,331,0.9897,0.0,0.0,0.0,0.0
Rec-027_std_2,11,core,2660,290,331,0.9861,0.0,0.0,0.0,0.0
Rec-027_std_2,11,core,2661,294,331,0.9857,4.0,0.0,0.0,4.0
Rec-027_std_2,11,core,2662,299,331,0.9872,5.0,0.0,0.0,5.0
Rec-027_std_2,11,core,2663,303,331,0.9871,4.0,0.0,0.0,4.0
Rec-027_std_2,11,core,2664,308,331,0.9877,5.0,0.0,0.0,5.0
Rec-027_std_2,11,core,2665,317,331,0.988,9.0,0.0,0.0,9.0
Rec-027_std_2,11,core,2666,321,331,0.9869,4.0,0.0,0.0,4.0
Rec-027_std_2,11,core,2667,326,331,0.9881,5.0,0.0,0.0,5.0
Rec-027_std_2,11,core,2668,339,331,0.9851,13.0,0.0,0.0,13.0
Rec-027_std_2,11,core,2669,344,331,0.9872,5.0,0.0,0.0,5.0
Rec-027_std_2,11,core,2670,348,331,0.9837,4.0,0.0,0.0,4.0
Rec-027_std_2,11,core,2671,355,330,0.9864,7.0,-1.0,8.13,7.07
Rec-027_std_2,11,post,2672,355,330,0.9926,0.0,0.0,0.0,0.0
Rec-027_std_2,11,post,2673,343,330,0.9564,-12.0,0.0,180.0,12.0
Rec-027_std_2,11,post,2674,333,331,0.9909,-10.0,1.0,-174.29,10.05
Rec-027_std_2,11,post,2675,333,331,0.9893,0.0,0.0,0.0,0.0
Rec-027_std_2,11,post,2676,332,330,0.9865,-1.0,-1.0,135.0,1.41
Rec-027_std_2,12,pre,2793,299,330,0.9919,,,,
Rec-027_std_2,12,pre,2794,291,330,0.9894,-8.0,0.0,180.0,8.0
Rec-027_std_2,12,pre,2795,290,330,0.9859,-1.0,0.0,180.0,1.0
Rec-027_std_2,12,pre,2796,290,331,0.9883,0.0,1.0,-90.0,1.0
Rec-027_std_2,12,pre,2797,290,331,0.9904,0.0,0.0,0.0,0.0
Rec-027_std_2,12,core,2798,290,331,0.9884,0.0,0.0,0.0,0.0
Rec-027_std_2,12,core,2799,292,331,0.985,2.0,0.0,0.0,2.0
Rec-027_std_2,12,core,2800,296,331,0.9864,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2801,301,331,0.9861,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2802,305,331,0.9875,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2803,310,331,0.9873,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2804,314,331,0.9879,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2805,319,331,0.988,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2806,323,331,0.9879,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2807,328,331,0.9878,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2808,332,331,0.9872,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2809,337,331,0.9877,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2810,341,331,0.9856,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2811,346,331,0.9865,5.0,0.0,0.0,5.0
Rec-027_std_2,12,core,2812,350,331,0.984,4.0,0.0,0.0,4.0
Rec-027_std_2,12,core,2813,355,331,0.983,5.0,0.0,0.0,5.0
Rec-027_std_2,12,post,2814,355,330,0.9924,0.0,-1.0,90.0,1.0
Rec-027_std_2,12,post,2815,355,330,0.9932,0.0,0.0,0.0,0.0
Rec-027_std_2,12,post,2816,348,330,0.9934,-7.0,0.0,180.0,7.0
Rec-027_std_2,12,post,2817,350,330,0.9943,2.0,0.0,0.0,2.0
Rec-027_std_2,12,post,2818,349,330,0.992,-1.0,0.0,180.0,1.0
Rec-027_std_2,13,pre,2931,293,330,0.989,,,,
Rec-027_std_2,13,pre,2932,290,330,0.9883,-3.0,0.0,180.0,3.0
Rec-027_std_2,13,pre,2933,290,331,0.9872,0.0,1.0,-90.0,1.0
Rec-027_std_2,13,pre,2934,290,331,0.9903,0.0,0.0,0.0,0.0
Rec-027_std_2,13,pre,2935,290,331,0.9905,0.0,0.0,0.0,0.0
Rec-027_std_2,13,core,2936,290,331,0.9876,0.0,0.0,0.0,0.0
Rec-027_std_2,13,core,2937,293,331,0.9846,3.0,0.0,0.0,3.0
Rec-027_std_2,13,core,2938,298,331,0.988,5.0,0.0,0.0,5.0
Rec-027_std_2,13,core,2939,302,331,0.9866,4.0,0.0,0.0,4.0
Rec-027_std_2,13,core,2940,316,331,0.9892,14.0,0.0,0.0,14.0
Rec-027_std_2,13,core,2941,325,331,0.9897,9.0,0.0,0.0,9.0
Rec-027_std_2,13,core,2942,330,331,0.9866,5.0,0.0,0.0,5.0
Rec-027_std_2,13,core,2943,334,331,0.9894,4.0,0.0,0.0,4.0
Rec-027_std_2,13,core,2944,339,331,0.9861,5.0,0.0,0.0,5.0
Rec-027_std_2,13,core,2945,348,331,0.9842,9.0,0.0,0.0,9.0
Rec-027_std_2,13,core,2946,352,331,0.9859,4.0,0.0,0.0,4.0
Rec-027_std_2,13,core,2947,355,330,0.9846,3.0,-1.0,18.43,3.16
Rec-027_std_2,13,post,2948,355,330,0.9933,0.0,0.0,0.0,0.0
Rec-027_std_2,13,post,2949,355,330,0.993,0.0,0.0,0.0,0.0
Rec-027_std_2,13,post,2950,351,330,0.9919,-4.0,0.0,180.0,4.0
Rec-027_std_2,13,post,2951,350,330,0.9941,-1.0,0.0,180.0,1.0
Rec-027_std_2,13,post,2952,350,330,0.9922,0.0,0.0,0.0,0.0
Rec-027_std_2,14,pre,3071,296,330,0.9885,,,,
Rec-027_std_2,14,pre,3072,291,330,0.9888,-5.0,0.0,180.0,5.0
Rec-027_std_2,14,pre,3073,290,330,0.9871,-1.0,0.0,180.0,1.0
Rec-027_std_2,14,pre,3074,290,331,0.9892,0.0,1.0,-90.0,1.0
Rec-027_std_2,14,pre,3075,290,331,0.991,0.0,0.0,0.0,0.0
Rec-027_std_2,14,core,3076,290,331,0.9892,0.0,0.0,0.0,0.0
Rec-027_std_2,14,core,3077,291,331,0.984,1.0,0.0,0.0,1.0
Rec-027_std_2,14,core,3078,296,331,0.988,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3079,300,331,0.9857,4.0,0.0,0.0,4.0
Rec-027_std_2,14,core,3080,305,331,0.9889,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3081,310,331,0.9859,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3082,314,331,0.9895,4.0,0.0,0.0,4.0
